,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
989,PVD Chameera ,2015,19,10,6,31,12,7,40,77,0,0,2,3,0,SL
991,R Dravid ,2011,1,1,0,31,31,31,21,147,0,0,0,0,3,INDIA
992,V Ganesan ,2019,4,4,0,31,15,7,42,73,0,0,0,0,0,GER
993,Jahurul Islam ,2010,3,3,0,31,18,10,23,134,0,0,0,3,1,BDESH
994,Jasdeep Singh ,2019,4,2,0,31,31,15,25,124,0,0,1,0,3,USA
996,RG Mukasa ,2019,4,4,0,31,14,7,40,77,0,0,0,1,0,UGA
997,PA Nixon ,2007,1,1,1,31,31,0,22,140,0,0,0,2,1,ENG
998,H Osinde ,2008,11,6,2,31,17,7,34,91,0,0,0,1,2,CAN
1000,D Sheeli ,2019,3,3,0,31,19,10,32,96,0,0,0,3,0,KUW
1001,ACF Stokes ,2019,7,5,0,31,16,6,26,119,0,0,3,6,0,GUE
1002,Tafseer Ali ,2019,5,4,1,31,19,10,53,58,0,0,0,1,0,NOR
1003,Zubaidi Zulkifle ,2019,4,4,0,31,22,7,29,106,0,0,1,2,2,MAL
1005,WW Hinds ,2006,5,5,1,30,14,7,41,73,0,0,1,3,0,WI
1006,LC Le Tissier ,2019,9,7,2,30,9,6,29,103,0,0,0,2,0,GUE
1007,Mian Mehmood ,2019,4,4,0,29,13,7,41,70,0,0,1,1,1,PORT
1008,SH Obed ,2019,12,7,2,29,9,5,41,70,0,0,0,1,0,VAN
1011,Taskin Ahmed ,2014,19,6,3,29,15,9,31,93,0,0,1,3,1,BDESH
1012,DT Tiripano ,2016,10,6,2,29,14,7,34,85,0,0,2,0,2,ZIM
1013,C Zavoiu ,2019,3,2,0,29,27,14,39,74,0,0,0,3,0,ROM
1014,Ahsan Malik ,2012,31,8,5,28,11,9,30,93,0,0,1,1,1,NL
1016,Amjad Khan ,2015,4,3,0,28,24,9,30,93,0,0,0,3,1,UAE
1017,EJB Miles ,2019,14,4,2,28,16,14,31,90,0,0,0,1,0,JER
1018,A Nehra ,2009,27,5,0,28,22,5,39,71,0,0,3,1,2,INDIA
1019,PJ Ongondo ,2007,8,6,0,28,16,4,23,121,0,0,2,1,2,KENYA
1020,CW Perchard ,2019,15,5,2,28,12,9,35,80,0,0,0,0,0,JER
1021,R Pillai ,2019,6,5,1,28,14,7,44,63,0,0,1,1,0,GER
1022,Sharafuddin Ashraf ,2015,8,4,1,28,18,9,29,96,0,0,0,1,1,AFG
1023,Ahmed Wardak ,2019,9,4,2,27,20,13,38,71,0,0,0,1,0,GER
1024,TP Allen ,2019,5,3,1,27,11,13,17,158,0,0,0,0,3,USA
1026,TC Barker ,2019,4,4,0,27,18,6,33,81,0,0,0,1,0,LUX
1027,NE Bonner ,2011,2,2,0,27,24,13,38,71,0,0,0,2,0,WI
1028,DT Christian ,2010,16,7,3,27,9,6,28,96,0,0,1,2,0,AUS
1029,RM Dorji ,2019,1,1,0,27,27,27,23,117,0,0,0,0,4,BHU
1031,S Hongsi ,2019,3,3,3,27,11,0,16,168,0,0,0,3,1,THAI
1032,Mohammad Iqbal ,2008,3,3,0,27,22,9,39,69,0,0,0,1,0,CAN
1033,Nadif Chowdhury ,2006,3,3,0,27,12,9,23,117,0,0,0,2,0,BDESH
1034,SS Pathirana ,2016,5,5,0,27,14,5,24,112,0,0,0,3,0,SL
1035,Shapoor Zadran ,2010,34,13,6,27,13,3,65,41,0,0,3,0,3,AFG
1037,MP Vaughan ,2005,2,2,0,27,27,13,22,122,0,0,1,4,0,ENG
1039,Zulfiqar Babar ,2013,7,3,3,27,13,0,27,100,0,0,0,2,1,PAK
1041,TB de Bruyn ,2017,2,2,0,26,19,13,16,162,0,0,0,3,1,SA
1042,D Ganga ,2006,1,1,0,26,26,26,31,83,0,0,0,3,1,WI
1043,R Goodwin ,2019,4,4,1,26,16,8,36,72,0,0,1,1,0,PHI
1044,Izatullah Dawlatzai ,2012,14,3,2,26,24,26,16,162,0,0,0,2,2,AFG
1045,G Kansonkho ,2019,6,3,1,26,22,13,21,123,0,0,1,4,0,MWI
1046,TJ Murtagh ,2012,14,5,3,26,12,13,25,104,0,0,0,0,1,IRE
1047,LN Oluoch ,2013,10,6,3,26,7,8,33,78,0,0,0,2,0,KENYA
1048,E Otieno ,2012,18,8,3,26,8,5,48,54,0,0,1,0,1,KENYA
1050,Washington Sundar ,2017,18,5,3,26,14,13,12,216,0,0,1,1,3,INDIA
1052,P Agnihotri ,2019,2,2,0,25,19,12,36,69,0,0,0,2,0,NOR
1054,RA Bhatti ,2012,4,4,1,25,11,8,37,67,0,0,1,1,0,CAN
1055,AM Ellis ,2012,5,5,2,25,16,8,21,119,0,0,0,1,1,NZ
1056,CRD Fernando ,2006,18,7,2,25,21,5,27,92,0,0,2,4,0,SL
1057,G Goudie ,2010,9,6,2,25,9,6,20,125,0,0,0,2,1,SCOT
1058,T Jamtsho ,2019,2,2,1,25,19,25,27,92,0,0,0,1,1,BHU
1059,JH Kiani ,2019,4,3,1,25,13,12,36,69,0,0,0,2,0,PHI
1060,RK Kleinveldt ,2008,6,3,2,25,22,25,10,250,0,0,0,1,3,SA
1061,WP Masakadza ,2015,12,6,3,25,6,8,30,83,0,0,0,2,0,ZIM
1062,G Murali ,2019,3,3,0,25,14,8,44,56,0,0,0,1,0,CRC
1063,PM Nevill ,2016,9,5,4,25,10,25,11,227,0,0,0,1,2,AUS
1064,SA Okpe ,2019,8,6,1,25,12,5,46,54,0,0,0,1,0,NGA
1065,C Pengkumta ,2019,4,3,2,25,18,25,31,80,0,0,0,2,0,THAI
1066,Raza-ur-Rehman ,2012,5,4,0,25,10,6,29,86,0,0,0,3,0,CAN
1067,Shahbaz Badar ,2019,3,3,0,25,16,8,32,78,0,0,1,3,0,BAH
1068,Shahriar Nafees ,2006,1,1,0,25,25,25,17,147,0,0,0,3,1,BDESH
1069,Sidhant Singh ,2019,8,6,2,25,12,6,26,96,0,0,1,1,1,SGP
1071,Tahir Dar ,2019,4,2,0,25,15,12,25,100,0,0,0,1,2,BAH
1072,Vinod Kumar ,2019,3,3,1,25,17,12,30,83,0,0,0,3,0,ESP
1073,Adil Hanif ,2019,4,2,0,24,16,12,23,104,0,0,0,3,0,BAH
1075,MO Bacarese ,2019,3,2,0,24,13,12,37,64,0,0,0,0,1,GIBR
1076,OO Bascome ,2008,3,3,0,24,16,8,29,82,0,0,0,3,0,BMUDA
1077,Bilal Tahir ,2019,4,4,0,24,13,6,21,114,0,0,1,1,1,KUW
1078,JW Dernbach ,2011,34,7,2,24,12,4,21,114,0,0,1,3,0,ENG
1079,Fareed Ahmad ,2016,14,1,1,24,24,0,15,160,0,0,0,4,0,AFG
1080,JN Gillespie ,2005,1,1,0,24,24,24,18,133,0,0,0,4,0,AUS
1083,MJ McClenaghan ,2012,29,8,4,24,10,6,23,104,0,0,2,1,2,NZ
1084,Rameez Raja ,2011,2,2,0,24,23,12,29,82,0,0,0,2,0,2) (PAK
1085,B Regmi ,2014,18,11,4,24,11,3,56,42,0,0,1,2,0,NEPAL
1086,CP Schofield ,2007,4,4,3,24,9,24,20,120,0,0,0,2,0,ENG
1087,KJ Abbott ,2013,21,6,4,23,9,11,20,115,0,0,0,2,0,SA
1088,AB Barath ,2010,2,2,0,23,15,11,39,58,0,0,0,3,0,WI
1089,Bilawal Bhatti ,2013,9,4,2,23,13,11,14,164,0,0,1,2,1,PAK
1090,DL Brangman ,2019,5,4,2,23,23,11,25,92,0,0,2,2,1,BMUDA
1091,C Floyd ,2019,2,2,1,23,21,23,23,100,0,0,0,2,1,NL
1094,Imran Anwar ,2019,4,2,1,23,16,23,22,104,0,0,0,2,0,BAH
1096,B Kumar ,2012,43,9,5,23,9,5,29,79,0,0,1,0,0,INDIA
1097,S Lamichhane ,2018,18,8,4,23,9,5,29,79,0,0,1,1,0,NEPAL
1099,T Panyangara ,2013,14,5,4,23,17,23,17,135,0,0,0,1,2,ZIM
1100,VM Sachdev ,2019,2,2,1,23,12,23,31,74,0,0,0,2,0,PNM
1101,Shafiul Islam ,2010,17,6,1,23,16,4,33,69,0,0,1,1,1,BDESH
1102,S Sohal ,2019,3,2,0,23,18,11,29,79,0,0,0,1,1,USA
1103,A Zampa ,2016,27,6,4,23,9,11,26,88,0,0,0,2,0,AUS
1104,Zulqarnain Haider ,2007,3,3,0,23,17,7,30,76,0,0,0,1,0,PAK
1105,Abdur Rehman ,2007,8,5,3,22,7,11,29,75,0,0,0,0,0,PAK
1107,SE Aquilina ,2019,4,4,0,22,14,5,30,73,0,0,0,2,0,MALTA
1108,Z Arinaitwe ,2019,3,3,0,22,15,7,26,84,0,0,0,3,1,UGA
1109,TA Boult ,2013,27,8,3,22,8,4,32,68,0,0,1,1,0,NZ
1110,PC de Silva ,2017,2,2,0,22,21,11,22,100,0,0,0,1,0,SL
1111,AB Dinda ,2009,9,2,1,22,19,22,24,91,0,0,0,1,0,INDIA
1112,PJ Ingram ,2010,3,3,1,22,20,11,35,62,0,0,1,3,0,NZ
1113,M Morkel ,2007,44,8,5,22,8,7,18,122,0,0,0,3,1,SA
1115,DP Nannes ,2009,17,5,3,22,12,11,18,122,0,0,0,1,1,AUS
1116,FL Reifer ,2009,1,1,0,22,22,22,20,110,0,0,0,2,1,WI
1117,Umair Ali ,2015,3,3,2,22,13,22,18,122,0,0,0,2,1,UAE
1119,Anas Khan ,2014,1,1,1,21,21,0,28,75,0,0,0,2,0,HKG
1120,SE Bond ,2005,20,8,3,21,8,4,21,100,0,0,2,2,0,NZ
1121,BB Chari ,2019,3,3,0,21,19,7,31,67,0,0,1,4,0,ZIM
1122,MR Gillespie ,2006,11,6,4,21,7,10,29,72,0,0,0,0,0,NZ
1123,L Gregory ,2019,5,3,0,21,15,7,19,110,0,0,1,0,2,ENG
1124,Imam-ul-Haq ,2019,2,2,0,21,14,10,25,84,0,0,0,2,0,PAK
1125,Kamran Shazad ,2014,3,2,0,21,21,10,17,123,0,0,1,1,2,UAE
1126,Karweng NG ,2019,4,3,0,21,14,7,30,70,0,0,0,0,1,PHI
1127,LD Madushanka ,2019,2,2,0,21,20,10,26,80,0,0,0,1,0,SL
1129,AF Milne ,2010,21,8,8,21,10,0,23,91,0,0,0,1,0,NZ
1130,Mohammad Sami ,2010,13,4,3,21,8,21,30,70,0,0,0,2,0,PAK
1131,S Murari ,2019,3,3,1,21,16,10,20,105,0,0,0,2,0,CRC
1132,Rony Talukdar ,2015,1,1,0,21,21,21,22,95,0,0,0,0,1,BDESH
1133,Shoaib Akhtar ,2006,15,6,3,21,8,7,16,131,0,0,1,2,1,PAK
1134,SJS Smith ,2010,5,4,1,21,9,7,40,52,0,0,1,1,0,SCOT
1136,E Ul Haq ,2019,5,5,0,21,10,4,36,58,0,0,0,2,0,NOR
1137,Ainool Haqqiem ,2019,4,2,1,20,12,20,20,100,0,0,0,1,0,MAL
1138,RL Bhudia ,2007,3,3,1,20,11,10,20,100,0,0,1,0,2,KENYA
1140,Z Groenewald ,2019,10,4,1,20,13,6,35,57,0,0,0,0,0,NAM
1141,DL Hemp ,2008,2,2,0,20,20,10,32,62,0,0,1,2,1,BMUDA
1142,Kuldeep Yadav ,2017,19,2,1,20,16,20,20,100,0,0,0,2,0,INDIA
1143,MJ North ,2009,1,1,0,20,20,20,21,95,0,0,0,1,0,AUS
1144,N Pokana ,2016,19,7,5,20,8,10,28,71,0,0,0,0,0,PNG
1145,JRMVB Sanjaya ,2017,8,5,2,20,6,6,18,111,0,0,0,3,0,SL
1147,S Sreesanth ,2006,10,3,2,20,19,20,14,142,0,0,1,4,0,INDIA
1149,C Waiswa ,2019,4,2,1,20,14,20,14,142,0,0,0,1,1,UGA
1152,CJ Dala ,2018,9,4,3,19,12,19,28,67,0,0,0,1,0,SA
1153,Fahad Tariq ,2016,6,5,1,19,16,4,24,79,0,0,2,1,1,UAE
1155,Imran Haider ,2019,2,2,0,19,15,9,26,73,0,0,0,2,1,ROM
1156,Imran Tahir ,2013,38,4,3,19,9,19,18,105,0,0,0,1,1,SA
1158,Jaspreet Singh ,2019,5,2,0,19,11,9,23,82,0,0,0,1,0,ITA
1159,Junaid Sheikh ,2019,5,3,0,19,9,6,20,95,0,0,0,1,1,NOR
1160,HGJM Kulatunga ,2008,2,2,0,19,11,9,38,50,0,0,0,0,0,SL
1161,CJ McKay ,2010,6,4,2,19,7,9,22,86,0,0,1,1,1,AUS
1162,Mohammad Ahsan ,2019,6,3,0,19,8,6,20,95,0,0,0,0,1,KUW
1163,Muktar Ali ,2016,1,1,1,19,19,0,15,126,0,0,0,1,1,BDESH
1164,SN Netravalkar ,2019,8,2,1,19,12,19,15,126,0,0,0,1,1,USA
1165,HM Nicholls ,2016,5,4,0,19,7,4,28,67,0,0,0,2,0,NZ
1166,AE Paraam ,2019,3,2,1,19,10,19,10,190,0,0,0,2,1,SGP
1167,AM Phangiso ,2012,16,3,0,19,13,6,29,65,0,0,0,1,0,SA
1168,RLB Rambukwella ,2013,2,1,0,19,19,19,16,118,0,0,0,1,1,SL
1169,SV Samson ,2015,1,1,0,19,19,19,24,79,0,0,0,1,0,INDIA
1171,Sufyan Mehmood ,2015,3,2,1,19,13,19,41,46,0,0,0,2,0,OMAN
1172,KOK Williams ,2016,24,7,4,19,13,6,17,111,0,0,1,1,1,WI
1175,V Baskaran ,2019,12,5,3,18,14,9,23,78,0,0,1,0,0,SGP
1176,Bilal Khan ,2015,32,10,7,18,6,6,28,64,0,0,2,1,0,OMAN
1177,LA Collado ,2019,4,3,2,18,8,18,34,52,0,0,0,0,0,GIBR
1178,LHD Dilhara ,2008,2,1,1,18,18,0,9,200,0,0,0,0,1,SL
1179,XJ Doherty ,2012,11,4,3,18,9,18,17,105,0,0,0,1,0,AUS
1180,BE Hendricks ,2014,11,3,1,18,12,9,21,85,0,0,0,0,1,SA
1181,Khurram Chohan ,2010,4,4,2,18,8,9,14,128,0,0,0,1,1,CAN
1182,JB Little ,2016,11,6,2,18,7,4,16,112,0,0,2,3,0,IRE
1183,AK Markram ,2019,2,2,0,18,15,9,17,105,0,0,0,1,1,SA
1184,SW Masakadza ,2010,7,5,1,18,9,4,24,75,0,0,1,1,0,ZIM
1185,Nauman Anwar ,2015,1,1,0,18,18,18,10,180,0,0,0,2,1,PAK
1186,Naved-ul-Hasan ,2006,4,2,1,18,17,18,16,112,0,0,0,0,2,PAK
1187,Nazmul Islam ,2018,13,4,3,18,7,18,17,105,0,0,0,2,0,BDESH
1189,Raza Hasan ,2012,10,4,4,18,13,0,25,72,0,0,0,2,0,PAK
1190,PADLR Sandakan ,2017,14,4,2,18,10,9,24,75,0,0,0,2,0,SL
1191,S Snater ,2018,13,6,1,18,10,3,16,112,0,0,2,0,1,NL
1192,S Thuraisingam ,2008,3,2,1,18,15,18,24,75,0,0,0,1,0,CAN
1193,JW Wilson ,2005,1,1,0,18,18,18,14,128,0,0,0,2,0,NZ
1194,HN Ya France ,2019,6,3,0,18,13,6,20,90,0,0,1,1,1,NAM
1195,TL Best ,2013,6,1,1,17,17,0,9,188,0,0,0,0,2,WI
1196,D Bishoo ,2011,7,4,2,17,8,8,29,58,0,0,1,2,0,WI
1197,TA Blundell ,2017,3,2,1,17,14,17,21,80,0,0,0,0,0,NZ
1198,LA Dawson ,2016,6,2,1,17,10,17,8,212,0,0,0,2,1,ENG
1199,RR Emrit ,2018,4,3,0,17,11,5,27,62,0,0,0,0,1,WI
1200,D Gim ,2019,6,4,2,17,9,8,32,53,0,0,1,0,0,NGA
1201,S Kizilkaya ,2019,4,4,0,17,8,4,28,60,0,0,1,3,0,TKY
1202,L Louwrens ,2019,1,1,1,17,17,0,15,113,0,0,0,1,1,NAM
1204,LN Onyango ,2007,5,4,2,17,5,8,21,80,0,0,0,0,0,KENYA
1205,TK Patel ,2019,7,3,3,17,14,0,18,94,0,0,0,1,0,USA
1206,K Pierre ,2018,8,4,2,17,9,8,23,73,0,0,0,2,0,WI
1207,Rubel Hossain ,2009,27,14,9,17,8,3,30,56,0,0,4,1,0,BDESH
1208,GR Russ ,2019,3,2,1,17,10,17,29,58,0,0,0,0,0,PHI
1209,SE Rutherford ,2018,3,3,0,17,9,5,23,73,0,0,0,1,0,WI
1212,T Singye ,2019,2,2,0,17,11,8,25,68,0,0,0,2,0,BHU
1214,Zain ul Tashnam ,2019,3,2,1,17,11,17,26,65,0,0,0,1,0,CRC
1218,J Barker ,2019,4,2,0,16,16,8,16,100,0,0,1,3,0,LUX
1221,U Dorji ,2019,2,2,0,16,8,8,17,94,0,0,0,2,0,BHU
1222,CJ Ferguson ,2009,3,3,0,16,8,5,19,84,0,0,1,1,0,AUS
1224,EH Hutchinson ,2019,2,1,0,16,16,16,8,200,0,0,0,3,0,USA
1225,LS Livingstone ,2017,2,2,0,16,16,8,19,84,0,0,1,1,0,ENG
1226,Mehrab Hossain jnr ,2008,2,2,1,16,10,16,25,64,0,0,0,1,0,BDESH
1228,Najmul Hossain Shanto ,2019,2,2,0,16,11,8,17,94,0,0,0,1,0,BDESH
1229,F Nsubuga ,2019,3,3,1,16,9,8,15,106,0,0,0,0,2,UGA
1230,JB Reva ,2015,9,4,0,16,7,4,22,72,0,0,0,1,1,PNG
1231,BJ Rohrer ,2013,1,1,0,16,16,16,14,114,0,0,0,0,1,AUS
1232,EHSN Silva ,2014,2,2,1,16,13,16,22,72,0,0,0,1,0,UAE
1233,DW Steyn ,2007,44,10,5,16,5,3,23,69,0,0,1,1,0,SA
1234,Aamer Yamin ,2015,2,1,1,15,15,0,6,250,0,0,0,1,1,PAK
1235,AB Agarkar ,2006,4,2,0,15,14,7,11,136,0,0,0,2,0,INDIA
1236,Anowarul Islam ,2019,4,4,0,15,9,3,20,75,0,0,1,1,1,THAI
1237,NW Bracken ,2006,19,6,3,15,4,5,22,68,0,0,1,1,0,AUS
1238,TL Chatara ,2010,21,3,0,15,8,5,18,83,0,0,1,1,0,ZIM
1239,K Christie ,2019,11,4,2,15,11,7,20,75,0,0,0,0,0,HKG
1240,GL Cloete ,2018,2,2,0,15,13,7,15,100,0,0,0,2,0,SA
1241,SS Cottrell ,2014,22,7,4,15,4,5,22,68,0,0,1,2,0,WI
1242,N Dutta ,2019,11,3,2,15,12,15,13,115,0,0,0,1,0,CAN
1244,J Hill ,2019,4,3,0,15,6,5,20,75,0,0,0,3,0,PHI
1245,E Katchay ,2008,4,3,2,15,8,15,25,60,0,0,1,0,0,CAN
1246,AC Kose ,2019,4,4,0,15,15,3,33,45,0,0,3,3,0,TKY
1247,Nasrulla Rana ,2019,8,4,2,15,7,7,24,62,0,0,1,0,0,HKG
1248,RN Patel ,2019,2,2,1,15,15,15,25,60,0,0,1,1,0,KENYA
1249,LA Pomersbach ,2007,1,1,0,15,15,15,7,214,0,0,0,1,1,AUS
1250,RW Price ,2008,16,9,4,15,7,3,28,53,0,0,1,1,0,ZIM
1251,Shabir Noori ,2012,1,1,0,15,15,15,18,83,0,0,0,1,0,AFG
1252,J Smits ,2008,6,2,1,15,11,15,27,55,0,0,0,0,0,NL
1253,AO Suji ,2007,8,5,2,15,7,5,29,51,0,0,0,0,0,KENYA
1254,MK Tiwary ,2011,3,1,0,15,15,15,17,88,0,0,0,0,0,INDIA
1255,Usama Master ,2019,6,2,0,15,15,7,13,115,0,0,1,1,0,MWI
1256,JDF Vandersay ,2015,10,7,6,15,8,15,17,88,0,0,0,2,0,SL
1257,VB van Jaarsveld ,2009,3,3,0,15,12,5,23,65,0,0,1,0,0,SA
1258,Vikramjit Singh ,2019,1,1,0,15,15,15,13,115,0,0,0,1,0,NL
1259,Abul Hasan ,2012,5,2,0,14,9,7,11,127,0,0,0,2,0,BDESH
1260,CM Akachukwu ,2019,8,5,3,14,8,7,15,93,0,0,0,0,1,NGA
1261,Aminul Islam ,2019,4,3,2,14,9,14,14,100,0,0,0,2,0,BDESH
1263,SG Borthwick ,2011,1,1,0,14,14,14,16,87,0,0,0,2,0,ENG
1265,ST Finn ,2011,21,3,3,14,8,0,19,73,0,0,0,1,0,ENG
1266,Ibrahim Zadran ,2019,3,3,0,14,11,4,26,53,0,0,0,0,1,AFG
1267,P Jayeshbhai Patel ,2019,2,2,1,14,8,14,11,127,0,0,0,0,0,PNM
1268,T Langa ,2019,1,1,0,14,14,14,9,155,0,0,0,2,0,VAN
1269,JAH Marshall ,2005,3,2,0,14,13,7,15,93,0,0,0,2,0,NZ
1272,AN Petersen ,2010,2,2,0,14,8,7,19,73,0,0,0,1,0,SA
1273,VD Philander ,2007,7,4,0,14,6,3,28,50,0,0,0,0,0,SA
1274,S Pillai ,2019,3,3,0,14,6,4,27,51,0,0,0,1,0,CRC
1275,C Prasad ,2019,3,3,1,14,11,7,29,48,0,0,1,1,0,CRC
1276,Rakibul Hasan ,2019,8,4,1,14,5,4,17,82,0,0,1,1,0,ITA
1277,Ravinder Singh ,2019,2,2,0,14,8,7,13,107,0,0,0,0,1,MALTA
1278,Saqlain Haider ,2016,6,5,1,14,7,3,35,40,0,0,0,0,0,UAE
1280,S Smith ,2019,5,3,3,14,7,0,27,51,0,0,0,0,0,BMUDA
1281,S Varathappan ,2019,3,3,0,14,9,4,14,100,0,0,1,3,0,KUW
1282,VS Wategaonkar ,2016,2,1,0,14,14,14,14,100,0,0,0,1,0,OMAN
1283,T Whiteman ,2019,4,2,1,14,14,14,10,140,0,0,1,0,1,LUX
1284,CM Wright ,2007,3,1,0,14,14,14,18,77,0,0,0,0,0,SCOT
1285,Abdullah Sheikh ,2019,2,2,0,13,11,6,18,72,0,0,0,1,0,NOR
1286,AR Adams ,2005,4,2,1,13,7,13,12,108,0,0,0,1,0,NZ
1287,M Cope ,2019,2,2,1,13,13,13,15,86,0,0,0,2,0,LUX
1288,J Edness ,2008,3,3,0,13,9,4,28,46,0,0,1,0,0,BMUDA
1289,JA Fitzgerald ,2019,4,2,2,13,11,0,10,130,0,0,0,0,1,GIBR
1290,CR Foggo ,2008,3,3,0,13,7,4,17,76,0,0,1,2,0,BMUDA
1291,SP Gauchan ,2014,9,5,2,13,6,4,43,30,0,0,2,0,0,NEPAL
1292,PA Hitchcock ,2008,1,1,0,13,13,13,11,118,0,0,0,1,1,NZ
1293,SHT Kandamby ,2008,5,4,0,13,10,3,21,61,0,0,1,0,0,SL
1294,SKW Kelly ,2008,3,2,2,13,11,0,24,54,0,0,0,0,0,BMUDA
1295,Z Khan ,2006,17,4,2,13,9,6,10,130,0,0,0,0,1,INDIA
1296,Lucky Ali ,2019,2,2,0,13,7,6,18,72,0,0,0,1,0,DEN
1297,JL Martel ,2019,3,1,1,13,13,0,6,216,0,0,0,1,1,GUE
1298,J Mees ,2019,3,3,2,13,7,13,20,65,0,0,0,1,0,LUX
1299,Mohammad Nawaz ,2016,16,2,0,13,7,6,20,65,0,0,0,1,0,3) (PAK
1300,Mohammad Rafique ,2006,1,1,0,13,13,13,5,260,0,0,0,3,0,BDESH
1302,HC Overdijk ,2018,4,1,0,13,13,13,7,185,0,0,0,2,0,NL
1303,CMW Read ,2006,1,1,0,13,13,13,11,118,0,0,0,2,0,ENG
1304,JA Richardson ,2017,9,3,2,13,7,13,6,216,0,0,1,2,0,AUS
1306,Usman Mushtaq ,2016,3,2,1,13,9,13,24,54,0,0,0,1,0,UAE
1307,Washeem Abbas ,2019,2,2,1,13,9,13,7,185,0,0,0,0,1,MALTA
1308,J Anderson ,2015,4,2,0,12,9,6,18,66,0,0,0,1,0,IRE
1309,Arslan Ahmed ,2019,3,3,0,12,11,4,32,37,0,0,1,1,0,PORT
1310,Asad Mohammad ,2019,9,4,1,12,5,4,12,100,0,0,0,2,0,GER
1311,Avi Dixit ,2019,1,1,1,12,12,0,8,150,0,0,0,0,1,SGP
1312,HMCM Bandara ,2006,4,3,1,12,7,6,15,80,0,0,0,0,0,SL
1313,Fazal Niazai ,2019,1,1,0,12,12,12,15,80,0,0,0,1,0,AFG
1314,CJ Gannon ,2019,4,3,2,12,7,12,9,133,0,0,0,0,1,USA
1315,R Gaznavi ,2019,2,2,0,12,8,6,12,100,0,0,0,2,0,SGP
1316,H Helva ,2019,4,4,0,12,7,3,25,48,0,0,2,2,0,TKY
1317,HJH Marshall ,2005,3,3,0,12,8,4,14,85,0,0,0,0,0,NZ
1318,D Mejia ,2019,3,1,0,12,12,12,10,120,0,0,0,2,0,CRC
1319,NV Ojha ,2010,2,2,0,12,10,6,27,44,0,0,0,2,0,INDIA
1320,A Patel ,2019,2,2,1,12,6,12,23,52,0,0,0,2,0,MWI
1322,KOA Powell ,2014,1,1,0,12,12,12,14,85,0,0,0,1,0,WI
1323,Raag Kapur ,2019,4,3,1,12,6,6,16,75,0,0,0,1,0,HKG
1324,R Rampaul ,2007,23,6,5,12,8,12,21,57,0,0,0,0,0,WI
1325,MA Starc ,2012,28,6,2,12,4,3,18,66,0,0,0,0,0,AUS
1328,Atif Kamal ,2019,4,3,0,11,11,3,18,61,0,0,2,1,0,LUX
1329,A Bulow ,2019,2,1,0,11,11,11,13,84,0,0,0,0,1,DEN
1330,JD Campbell ,2019,2,2,0,11,11,5,16,68,0,0,1,2,0,WI
1332,Fayyaz Ahmed ,2015,1,1,0,11,11,11,12,91,0,0,0,2,0,UAE
1334,AJ Hall ,2006,2,1,0,11,11,11,10,110,0,0,0,1,0,SA
1335,Inzamam-ul-Haq ,2006,1,1,1,11,11,0,15,73,0,0,0,0,1,PAK
1336,Khurram Manzoor ,2016,3,3,0,11,10,3,27,40,0,0,1,1,0,PAK
1337,KS Lokuarachchi ,2012,2,2,0,11,11,5,13,84,0,0,1,1,0,SL
1338,WK McCallan ,2008,9,3,2,11,9,11,15,73,0,0,1,1,0,IRE
1339,OC McCoy ,2019,2,2,1,11,10,11,10,110,0,0,0,1,1,WI
1340,Mahedi Hasan ,2018,1,1,0,11,11,11,11,100,0,0,0,1,0,BDESH
1342,AK Mandal ,2015,2,2,0,11,9,5,25,44,0,0,0,0,0,NEPAL
1343,D Marks ,2019,2,2,2,11,6,0,12,91,0,0,0,0,0,MALTA
1344,BJ McCarthy ,2017,6,3,1,11,11,5,7,157,0,0,2,0,1,IRE
1345,AA Mulla ,2008,4,4,0,11,8,2,19,57,0,0,1,2,0,CAN
1347,Saqlain Arshad ,2019,2,1,0,11,11,11,10,110,0,0,0,0,1,QAT
1348,V Shetty ,2014,2,2,1,11,10,11,13,84,0,0,0,1,0,UAE
1350,SW Tait ,2007,21,6,2,11,6,2,15,73,0,0,1,0,1,AUS
1351,P Taylor ,2019,7,2,1,11,7,11,9,122,0,0,0,1,0,CZK-R
1352,H Thaker ,2019,1,1,0,11,11,11,9,122,0,0,0,0,1,CAN
1353,TCW Veillard ,2019,4,2,1,11,8,11,17,64,0,0,0,0,0,GUE
1354,RM West ,2009,5,4,1,11,8,3,11,100,0,0,0,1,0,IRE
1355,Yasir Shah ,2011,2,1,1,11,11,0,7,157,0,0,0,1,0,PAK
1357,Aftab Ahmed ,2019,1,1,0,10,10,10,13,76,0,0,0,1,0,2) (DEN
1359,CS Baugh ,2008,3,3,0,10,7,3,12,83,0,0,0,1,0,WI
1360,FH Edwards ,2007,20,4,2,10,7,5,9,111,0,0,1,1,0,WI
1361,N Pradeep ,2016,14,6,5,10,8,10,15,66,0,0,1,1,0,SL
1363,MJ Henry ,2014,6,2,1,10,10,10,5,200,0,0,0,2,0,NZ
1364,S Jyoti ,2008,2,2,1,10,10,10,20,50,0,0,1,0,0,CAN
1365,G Kaltongga ,2019,3,2,0,10,10,5,12,83,0,0,1,1,0,VAN
1366,RWT Key ,2009,1,1,1,10,10,0,8,125,0,0,0,0,0,ENG
1368,Mohammad Ghazanfar ,2019,5,2,1,10,6,10,10,100,0,0,0,1,0,HKG
