,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
705,K Birkenstock ,2019,4,2,0,64,59,32,33,193,0,1,0,7,4,NAM
706,S Dube ,2019,6,4,2,64,54,32,42,152,0,1,0,3,4,INDIA
707,RM Haq ,2007,21,12,7,64,21,12,96,66,0,0,1,2,1,SCOT
708,DP Hyatt ,2011,5,5,1,64,28,16,54,118,0,0,0,4,4,WI
709,G Manan ,2019,3,3,0,64,29,21,52,123,0,0,0,11,1,ROM
710,A Natubhai Ahir ,2019,3,3,0,64,30,21,59,108,0,0,0,10,1,PNM
711,WB Rankin ,2009,48,15,8,64,16,9,74,86,0,0,2,3,3,ENG
712,DJ Reekers ,2008,6,5,0,64,29,12,49,130,0,0,1,10,2,NL
713,Sadeeq Khan ,2019,3,3,1,64,28,32,42,152,0,0,0,3,6,ROM
714,Usman Waheed ,2019,6,4,1,64,28,21,61,104,0,0,1,6,1,KUW
716,LJ Barker ,2019,9,8,0,63,20,7,69,91,0,0,3,8,0,GUE
718,Kuldeep Lal ,2019,8,3,0,63,38,21,41,153,0,0,0,3,2,ESP
719,AN Cook ,2007,4,4,0,61,26,15,54,112,0,0,0,10,0,ENG
720,OD Hald ,2019,9,8,1,61,18,8,57,107,0,0,1,4,2,DEN
721,Hasan Ali ,2016,30,10,5,61,23,12,35,174,0,0,2,3,5,PAK
722,PD McGlashan ,2006,11,9,1,61,26,7,64,95,0,0,0,6,2,NZ
724,NM Odhiambo ,2010,16,8,2,61,26,10,94,64,0,0,2,4,1,KENYA
727,AJ Tye ,2016,26,11,5,61,20,10,55,110,0,0,2,4,3,AUS
728,DE Budge ,2018,6,4,2,60,24,30,59,101,0,0,0,2,3,SCOT
729,JWM Dalrymple ,2006,3,3,0,60,32,20,57,105,0,0,0,6,0,ENG
730,LM Jongwe ,2015,8,7,0,60,34,8,65,92,0,0,2,4,1,ZIM
731,J Kila ,2019,12,5,3,60,27,30,31,193,0,0,0,4,5,PNG
733,Mominul Haque ,2012,6,4,1,60,26,20,50,120,0,0,0,5,2,BDESH
734,P Mustard ,2008,2,2,0,60,40,30,37,162,0,0,0,5,4,ENG
