,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
0,Bhuvneshwar Kumar,14,14,52,369,26,14.19,7.05,12.07,0,1
1,Jaydev Unadkat,12,12,46,322,24,13.41,7.02,11.45,0,1
2,Jasprit Bumrah,16,16,59,439,20,21.95,7.39,17.8,0,0
3,Mitchell McClenaghan,14,14,54,507,19,26.68,9.38,17.05,0,0
4,Imran Tahir,12,12,47,369,18,20.5,7.85,15.66,0,0
5,Chris Woakes,13,13,44,386,17,22.7,8.77,15.52,0,0
6,Rashid Khan,14,14,54,358,17,21.05,6.62,19.05,0,0
7,Sandeep Sharma,13,13,48,398,17,23.41,8.29,16.94,1,0
8,Umesh Yadav,14,14,48,410,17,24.11,8.45,17.11,1,0
9,Siddarth Kaul,10,10,35,300,16,18.75,8.41,13.37,1,0
10,Pawan Negi,12,12,32,197,16,12.31,6.12,12.06,0,0
11,Axar Patel,14,14,48,362,15,24.13,7.54,19.2,0,0
12,Nathan Coulter-Nile,8,8,28,228,15,15.2,8.04,11.33,0,0
13,Pat Cummins,12,12,46,373,15,24.86,8.07,18.46,0,0
14,Yuzvendra Chahal,13,13,43,333,14,23.78,7.65,18.64,0,0
15,Mohit Sharma,14,14,45,410,13,31.53,8.97,21.07,0,0
16,Karn Sharma,9,9,30,214,13,16.46,6.97,14.15,1,0
17,Kuldeep Yadav,12,11,41,340,12,28.33,8.29,20.5,0,0
18,Chris Morris,9,9,31,240,12,20.0,7.74,15.5,1,0
19,Ben Stokes,12,12,44,316,12,26.33,7.18,22.0,0,0
20,Andrew Tye,6,6,21,141,12,11.75,6.71,10.5,0,1
21,Shardul Thakur,12,12,38,315,11,28.63,8.25,20.81,0,0
22,Dan Christian,13,13,40,298,11,27.09,7.45,21.81,0,0
23,Basil Thampi,12,12,44,424,11,38.54,9.49,24.36,0,0
24,Lasith Malinga,12,12,45,382,11,34.72,8.52,24.45,0,0
25,Zaheer Khan,11,11,40,313,10,31.3,7.79,24.1,0,0
