,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
26,Sunil Narine,16,15,59,412,10,41.2,6.98,35.4,0,0
27,Mohammed Siraj,6,6,23,212,10,21.2,9.21,13.8,1,0
28,Amit Mishra,14,14,39,343,10,34.3,8.83,23.3,0,0
29,Krunal Pandya,13,13,40,273,10,27.3,6.82,24.0,0,0
30,Samuel Badree,7,7,25,188,9,20.88,7.52,16.66,1,0
31,Washington Sundar,11,10,30,185,8,23.12,6.16,22.5,0,0
32,Harbhajan Singh,11,11,41,266,8,33.25,6.48,30.75,0,0
33,Ashish Nehra,6,6,21,197,8,24.62,9.3,15.87,0,0
34,Varun Aaron,6,6,20,163,7,23.28,8.15,17.14,0,0
35,Mitchell Johnson,5,5,20,141,7,20.14,7.05,17.14,0,0
36,Adam Zampa,6,6,20,163,7,23.28,8.21,17.0,0,0
37,Glenn Maxwell,14,8,19,125,7,17.85,6.57,16.28,0,0
38,James Faulkner,8,8,26,258,6,43.0,9.79,26.33,0,0
39,Shahbaz Nadeem,7,7,18,119,6,19.83,6.67,17.83,0,0
40,Praveen Kumar,6,6,16,151,6,25.16,9.15,16.5,0,0
41,Piyush Chawla,6,6,20,179,6,29.83,8.95,20.0,0,0
42,Kagiso Rabada,6,6,21,188,6,31.33,8.81,21.33,0,0
43,Hardik Pandya,17,13,26,213,6,35.5,8.19,26.0,0,0
44,Aniket Choudhary,5,5,17,144,5,28.8,8.55,20.2,0,0
45,Pradeep Sangwan,5,5,18,181,5,36.2,10.05,21.6,0,0
46,Tymal Mills,5,5,18,153,5,30.6,8.57,21.4,0,0
47,Mohammad Shami,8,8,26,243,5,48.6,9.34,31.2,0,0
48,Trent Boult,6,6,24,216,5,43.2,9.06,28.6,0,0
49,Ravindra Jadeja,12,12,38,349,5,69.8,9.18,45.6,0,0
50,Sreenath Aravind,10,10,30,275,5,55.0,9.01,36.6,0,0
51,Shane Watson,8,8,27,245,5,49.0,9.13,32.2,0,0
52,Stuart Binny,8,4,6,50,4,12.5,8.33,9.0,0,0
53,Colin de Grandhomme,12,9,16,135,4,33.75,8.43,24.0,0,0
54,KC Cariappa,4,4,15,127,4,31.75,8.46,22.5,0,0
55,Ankit Rajpoot,5,5,14,107,4,26.75,7.64,21.0,0,0
56,Lockie Ferguson,4,4,13,93,3,31.0,7.15,26.0,0,0
57,Bipul Sharma,7,7,16,129,3,43.0,7.89,32.66,0,0
58,Tim Southee,3,3,10,96,3,32.0,9.6,20.0,0,0
59,Rahul Tewatia,3,3,9,49,3,16.33,5.44,18.0,0,0
60,Adam Milne,4,4,14,134,3,44.66,9.57,28.0,0,0
61,Harshal Patel,1,1,4,43,3,14.33,10.75,8.0,0,0
62,Corey Anderson,11,8,19,186,3,62.0,9.87,37.66,0,0
63,Dhawal Kulkarni,6,6,19,173,3,57.66,9.18,37.66,0,0
64,Iqbal Abdulla,2,2,5,55,2,27.5,11.0,15.0,0,0
65,Marcus Stoinis,5,5,10,110,2,55.0,10.47,31.5,0,0
66,Vinay Kumar,1,1,3,31,2,15.5,10.33,9.0,0,0
67,Ankit Soni,7,6,18,144,2,72.0,7.92,54.5,0,0
68,Mohammad Nabi,3,3,11,58,2,29.0,5.27,33.0,0,0
69,Dwayne Smith,12,9,13,148,2,74.0,11.38,39.0,0,0
70,Travis Head,7,5,8,81,2,40.5,10.12,24.0,0,0
71,T Natarajan,6,6,12,115,2,57.5,9.07,38.0,0,0
72,Rahul Chahar,3,2,7,58,2,29.0,8.28,21.0,0,0
73,Rajat Bhatia,3,3,7,55,2,27.5,7.85,21.0,0,0
74,Billy Stanlake,2,2,8,70,2,35.0,8.75,24.0,0,0
75,Deepak Hooda,10,3,4,42,2,21.0,10.5,12.0,0,0
76,Nathu Singh,2,2,4,15,1,15.0,3.75,24.0,0,0
77,Matt Henry,2,2,5,71,1,71.0,14.2,30.0,0,0
78,Yuvraj Singh,12,2,2,22,1,22.0,11.0,12.0,0,0
79,Yusuf Pathan,15,4,4,41,1,41.0,10.25,24.0,0,0
80,Carlos Brathwaite,2,2,6,67,1,67.0,11.16,36.0,0,0
81,Deepak Chahar,3,3,7,74,1,74.0,10.57,42.0,0,0
82,Ashok Dinda,3,3,10,119,1,119.0,11.9,60.0,0,0
83,Munaf Patel,2,2,7,57,1,57.0,8.14,42.0,0,0
84,Shubham Agarwal,1,1,4,42,1,42.0,10.5,24.0,0,0
85,Ben Cutting,4,4,12,123,1,123.0,9.71,76.0,0,0
86,Swapnil Singh,4,4,7,61,1,61.0,8.71,42.0,0,0
87,Suresh Raina,14,6,12,102,1,102.0,8.5,72.0,0,0
88,Avesh Khan,1,1,4,23,1,23.0,5.75,24.0,0,0
89,Moises Henriques,12,12,24,248,1,248.0,10.33,144.0,0,0
