,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
41,Mustafizur Rahman,8,8,32.0,244,8,30.5,7.62,24.0,0,0
42,Riley Meredith,8,8,28.0,236,8,29.5,8.42,21.0,0,0
43,Kuldeep Sen,7,7,25.1,237,8,29.62,9.41,18.87,1,0
44,Jagadeesha Suchith,5,5,18.0,140,7,20.0,7.77,15.42,0,0
45,Marco Jansen,8,8,32.0,274,7,39.14,8.56,27.42,0,0
46,Alzarri Joseph,9,9,30.0,264,7,37.71,8.8,25.71,0,0
47,Pat Cummins,5,5,19.5,212,7,30.28,10.68,17.0,0,0
48,Glenn Maxwell,13,10,24.0,165,6,27.5,6.87,24.0,0,0
49,Axar Patel,13,13,43.0,321,6,53.5,7.46,43.0,0,0
50,Sai Kishore,5,5,16.0,121,6,20.16,7.56,16.0,0,0
51,Rishi Dhawan,6,6,19.0,156,6,26.0,8.21,19.0,0,0
52,Varun Chakaravarthy,11,11,39.0,332,6,55.33,8.51,39.0,0,0
53,Washington Sundar,9,8,28.0,239,6,39.83,8.53,28.0,0,0
54,Liam Livingstone,14,12,23.0,202,6,33.66,8.78,23.0,0,0
55,Ramandeep Singh,5,3,6.0,54,6,9.0,9.0,6.0,0,0
56,Jaydev Unadkat,5,5,20.0,190,6,31.66,9.5,20.0,0,0
57,Dwaine Pretorius,6,6,21.0,210,6,35.0,10.0,21.0,0,0
58,Tymal Mills,5,5,17.0,190,6,31.66,11.17,17.0,0,0
59,Odean Smith,6,6,15.0,178,6,29.66,11.86,15.0,1,0
60,Ravindra Jadeja,10,10,33.0,248,5,49.6,7.51,39.6,0,0
61,Kumar Kartikeya Singh,4,4,13.0,102,5,20.4,7.84,15.6,0,0
62,Krishnappa Gowtham,4,4,12.0,99,5,19.8,8.25,14.4,0,0
63,Basil Thampi,5,5,16.0,152,5,30.4,9.5,19.2,0,0
64,Shivam Mavi,6,6,22.0,227,5,45.4,10.31,26.4,0,0
65,Akash Deep,5,5,18.5,205,5,41.0,10.88,22.6,0,0
66,Mitchell Santner,6,6,19.0,130,4,32.5,6.84,28.5,0,0
67,Simarjeet Singh,6,6,18.0,138,4,34.5,7.66,27.0,0,0
68,Lalit Yadav,12,8,18.0,150,4,37.5,8.33,27.0,0,0
69,Mitchell Marsh,8,4,12.0,102,4,25.5,8.5,18.0,0,0
70,Kieron Pollard,11,6,14.0,125,4,31.25,8.92,21.0,0,0
71,Harpreet Brar,5,5,16.0,146,4,36.5,9.12,24.0,0,0
72,Shahbaz Ahmed,16,14,35.0,336,4,84.0,9.6,52.5,0,0
73,Marcus Stoinis,11,5,7.0,79,4,19.75,11.28,10.5,0,0
74,Pradeep Sangwan,3,3,9.0,65,3,21.66,7.22,18.0,0,0
75,Chetan Sakariya,3,3,11.0,84,3,28.0,7.63,22.0,0,0
76,Nathan Ellis,2,2,6.0,55,3,18.33,9.16,12.0,0,0
77,Vaibhav Arora,5,5,17.5,164,3,54.66,9.19,35.66,0,0
78,Romario Shepherd,3,3,9.0,98,3,32.66,10.88,18.0,0,0
79,Navdeep Saini,2,2,6.0,72,3,24.0,12.0,12.0,0,0
80,Ayush Badoni,13,2,2.0,11,2,5.5,5.5,6.0,0,0
81,Prashant Solanki,2,2,6.0,38,2,19.0,6.33,18.0,0,0
82,Matheesha Pathirana,2,2,6.5,52,2,26.0,7.6,20.5,0,0
83,Sandeep Sharma,5,5,20.0,153,2,76.5,7.65,60.0,0,0
84,Hrithik Shokeen,5,5,15.0,127,2,63.5,8.46,45.0,0,0
85,Fazalhaq Farooqi,3,3,12.0,110,2,55.0,9.16,36.0,0,0
86,Andrew Tye,3,3,11.0,107,2,53.5,9.72,33.0,0,0
87,Varun Aaron,2,2,5.0,52,2,26.0,10.4,15.0,0,0
88,Chris Jordan,4,4,12.5,135,2,67.5,10.51,38.5,0,0
89,Darshan Nalkande,2,2,5.1,59,2,29.5,11.41,15.5,0,0
90,David Willey,4,4,11.0,72,1,72.0,6.54,66.0,0,0
91,Anukul Roy,2,2,7.0,55,1,55.0,7.85,42.0,0,0
92,Mayank Markande,2,2,7.0,57,1,57.0,8.14,42.0,0,0
93,Tushar Deshpande,2,2,7.0,63,1,63.0,9.0,42.0,0,0
94,Kartik Tyagi,2,2,8.0,79,1,79.0,9.87,48.0,0,0
95,Harshit Rana,2,2,5.0,51,1,51.0,10.2,30.0,0,0
96,Aiden Markram,14,4,6.0,64,1,64.0,10.66,36.0,0,0
97,Deepak Hooda,15,2,4.0,43,1,43.0,10.75,24.0,0,0
98,Shreyas Gopal,1,1,3.0,34,1,34.0,11.33,18.0,0,0
99,Fabian Allen,1,1,4.0,46,1,46.0,11.5,24.0,0,0
100,Sean Abbott,1,1,4.0,47,1,47.0,11.75,24.0,0,0
101,Riyan Parag,17,4,4.0,59,1,59.0,14.75,24.0,0,0
102,Dewald Brevis,7,1,0.3,8,1,8.0,16.0,3.0,0,0
