,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
0,Yuzvendra Chahal,17,17,68.0,527,27,19.51,7.75,15.11,1,1
1,Wanindu Hasaranga,16,16,57.0,430,26,16.53,7.54,13.15,1,1
2,Kagiso Rabada,13,13,48.0,406,23,17.65,8.45,12.52,2,0
3,Umran Malik,14,14,49.1,444,22,20.18,9.03,13.4,1,1
4,Kuldeep Yadav,14,14,49.4,419,21,19.95,8.43,14.19,2,0
5,Mohammad Shami,16,16,61.0,488,20,24.4,8.0,18.3,0,0
6,Josh Hazlewood,12,12,46.3,377,20,18.85,8.1,13.95,1,0
7,Rashid Khan,16,16,63.5,421,19,22.15,6.59,20.15,1,0
8,Harshal Patel,15,15,53.3,410,19,21.57,7.66,16.89,1,0
9,Prasidh Krishna,17,17,66.3,551,19,29.0,8.28,21.0,0,0
10,Avesh Khan,13,13,47.4,416,18,23.11,8.72,15.88,1,0
11,T Natarajan,11,11,43.0,406,18,22.55,9.44,14.33,0,0
12,Andre Russell,14,13,28.1,278,17,16.35,9.86,9.94,1,0
13,Umesh Yadav,12,12,48.0,339,16,21.18,7.06,18.0,1,0
14,Trent Boult,16,16,62.0,492,16,30.75,7.93,23.25,0,0
15,Khaleel Ahmed,10,10,39.1,315,16,19.68,8.04,14.68,0,0
16,Dwayne Bravo,10,10,34.2,299,16,18.68,8.7,12.87,0,0
17,Mukesh Choudhary,13,13,45.3,424,16,26.5,9.31,17.06,1,0
18,Jasprit Bumrah,14,14,53.2,383,15,25.53,7.18,21.33,0,1
19,Shardul Thakur,14,14,48.2,473,15,31.53,9.78,19.33,1,0
20,Mohsin Khan,9,9,33.0,197,14,14.07,5.96,14.14,1,0
21,Rahul Chahar,13,13,46.4,360,14,25.71,7.71,20.0,0,0
22,Tim Southee,9,9,35.0,275,14,19.64,7.85,15.0,0,0
23,Jason Holder,12,12,41.3,391,14,27.92,9.42,17.78,0,0
24,Ravi Bishnoi,14,14,54.0,456,13,35.07,8.44,24.92,0,0
25,Daniel Sams,11,11,42.0,370,13,28.46,8.8,19.38,1,0
26,Bhuvneshwar Kumar,14,14,52.1,383,12,31.91,7.34,26.08,0,0
27,Maheesh Theekshana,9,9,35.0,261,12,21.75,7.45,17.5,1,0
28,Ravichandran Ashwin,17,17,67.0,503,12,41.91,7.5,33.5,0,0
29,Lockie Ferguson,13,13,47.4,427,12,35.58,8.95,23.83,1,0
30,Obed McCoy,7,7,25.5,237,11,21.54,9.17,14.09,0,0
31,Yash Dayal,9,9,32.0,296,11,26.9,9.25,17.45,0,0
32,Krunal Pandya,14,12,38.0,265,10,26.5,6.97,22.8,0,0
33,Arshdeep Singh,14,14,50.0,385,10,38.5,7.7,30.0,0,0
34,Sunil Narine,14,14,56.0,312,9,34.66,5.57,37.33,0,0
35,Murugan Ashwin,8,8,29.0,228,9,25.33,7.86,19.33,0,0
36,Dushmantha Chameera,12,12,44.0,384,9,42.66,8.72,29.33,0,0
37,Anrich Nortje,6,6,22.2,217,9,24.11,9.71,14.88,0,0
38,Mohammed Siraj,15,15,51.0,514,9,57.11,10.07,34.0,0,0
39,Moeen Ali,10,10,23.5,158,8,19.75,6.62,17.87,0,0
40,Hardik Pandya,15,10,30.3,222,8,27.75,7.27,22.87,0,0
