,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
0,Harshal Patel,15,15,56,459,32,14.34,8.14,10.56,1,1
1,Avesh Khan,16,16,61,450,24,18.75,7.37,15.25,0,0
2,Jasprit Bumrah,14,14,55,410,21,19.52,7.45,15.71,0,0
3,Shardul Thakur,16,16,60,527,21,25.09,8.8,17.09,0,0
4,Mohammad Shami,14,14,52,395,19,20.78,7.5,16.63,0,0
5,Rashid Khan,14,14,56,375,18,20.83,6.69,18.66,0,0
6,Arshdeep Singh,12,12,41,342,18,19.0,8.27,13.77,0,1
7,Varun Chakaravarthy,17,17,68,448,18,24.88,6.58,22.66,0,0
8,Yuzvendra Chahal,15,15,53,374,18,20.77,7.05,17.66,0,0
9,Jason Holder,8,8,32,247,16,15.43,7.75,11.93,1,0
10,Sunil Narine,14,14,56,361,16,22.56,6.44,21.0,1,0
11,Chris Morris,11,11,41,376,15,25.06,9.17,16.4,1,0
12,Axar Patel,12,12,46,306,15,20.4,6.65,18.4,0,0
13,Kagiso Rabada,15,15,56,456,15,30.4,8.14,22.4,0,0
14,Chetan Sakariya,14,14,52,426,14,30.42,8.19,22.28,0,0
15,Deepak Chahar,15,15,54,451,14,32.21,8.35,23.14,2,0
16,Dwayne Bravo,11,11,33,263,14,18.78,7.81,14.42,0,0
17,Mustafizur Rahman,14,14,52,436,14,31.14,8.41,22.21,0,0
18,Ravindra Jadeja,16,16,49,346,13,26.61,7.06,22.61,0,0
19,Lockie Ferguson,8,8,30,224,13,17.23,7.46,13.84,0,0
20,Trent Boult,14,14,51,406,13,31.23,7.9,23.69,0,0
21,Rahul Chahar,11,11,43,318,13,24.46,7.39,19.84,1,0
22,Ravi Bishnoi,9,9,35,222,12,18.5,6.34,17.5,0,0
23,Anrich Nortje,8,8,30,187,12,15.58,6.16,15.16,0,0
24,Prasidh Krishna,10,10,38,351,12,29.25,9.11,19.25,0,0
25,Shivam Mavi,9,9,32,233,11,21.18,7.24,17.54,1,0
26,Josh Hazlewood,9,9,35,293,11,26.63,8.37,19.09,0,0
27,Mohammed Siraj,15,15,52,353,11,32.09,6.78,28.36,0,0
28,Andre Russell,10,8,19,188,11,17.09,9.89,10.36,0,1
29,Pat Cummins,7,7,27,237,9,26.33,8.83,17.88,0,0
30,Sam Curran,9,9,33,328,9,36.44,9.93,22.0,0,0
31,Kyle Jamieson,9,9,28,269,9,29.88,9.6,18.66,0,0
32,Rahul Tewatia,14,13,37,340,8,42.5,9.18,27.75,0,0
33,Siddarth Kaul,8,8,30,247,7,35.28,8.23,25.71,0,0
34,Nathan Coulter-Nile,5,5,20,127,7,18.14,6.35,17.14,1,0
35,Ravichandran Ashwin,13,13,44,331,7,47.28,7.41,38.28,0,0
36,Shahbaz Ahmed,11,6,14,92,7,13.14,6.57,12.0,0,0
37,Amit Mishra,4,4,14,109,6,18.16,7.78,14.0,1,0
38,Bhuvneshwar Kumar,11,11,42,335,6,55.83,7.97,42.0,0,0
39,Moeen Ali,15,10,25,161,6,26.83,6.35,25.33,0,0
40,Lungi Ngidi,3,3,12,125,5,25.0,10.41,14.4,0,0
41,Chris Woakes,3,3,11,82,5,16.4,7.45,13.2,0,0
42,Krunal Pandya,13,12,33,265,5,53.0,7.98,39.8,0,0
43,Jimmy Neesham,3,3,9,66,5,13.2,7.33,10.8,0,0
