,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
44,Harpreet Brar,7,7,23,139,5,27.8,6.04,27.6,0,0
45,Kieron Pollard,14,9,13,95,5,19.0,7.21,15.8,0,0
46,Khaleel Ahmed,7,7,27,219,5,43.8,8.11,32.4,0,0
47,Abhishek Sharma,8,6,10,64,4,16.0,6.4,15.0,0,0
48,Lalit Yadav,7,5,14,101,4,25.25,7.21,21.0,0,0
49,Jaydev Unadkat,6,6,22,168,4,42.0,7.63,33.0,0,0
50,Tom Curran,3,3,11,104,4,26.0,9.17,17.0,0,0
51,Chris Jordan,4,4,12,96,4,24.0,8.0,18.0,0,0
52,Kartik Tyagi,4,4,14,124,4,31.0,8.85,21.0,0,0
53,Moises Henriques,5,5,10,45,4,11.25,4.5,15.0,0,0
54,Dan Christian,9,9,16,155,4,38.75,9.3,25.0,0,0
55,Riley Meredith,5,5,17,169,4,42.25,9.94,25.5,0,0
56,Shakib Al Hasan,8,8,26,187,4,46.75,7.19,39.0,0,0
57,Washington Sundar,6,6,16,118,3,39.33,7.37,32.0,0,0
58,Venkatesh Iyer,10,4,8,69,3,23.0,8.11,17.0,0,0
59,Sandeep Sharma,7,7,23,203,3,67.66,8.63,47.0,0,0
60,Adam Milne,4,4,14,131,3,43.66,9.35,28.0,0,0
61,Tim Southee,3,3,12,95,3,31.66,7.91,24.0,0,0
62,Vijay Shankar,7,5,11,100,3,33.33,9.09,22.0,0,0
63,Jhye Richardson,3,3,11,117,3,39.0,10.63,22.0,0,0
64,Glenn Maxwell,15,6,16,135,3,45.0,8.43,32.0,0,0
65,George Garton,5,5,15,135,3,45.0,9.0,30.0,0,0
66,T Natarajan,2,2,8,69,2,34.5,8.62,24.0,0,0
67,Jayant Yadav,5,5,17,130,2,65.0,7.64,51.0,0,0
68,Imran Tahir,1,1,4,16,2,8.0,4.0,12.0,0,0
69,Umran Malik,3,3,12,96,2,48.0,8.0,36.0,0,0
70,Marco Jansen,2,2,6,45,2,22.5,7.5,18.0,0,0
71,Marcus Stoinis,10,8,11,117,2,58.5,10.47,33.5,0,0
72,Mohammad Nabi,3,3,8,86,2,43.0,10.75,24.0,0,0
73,Mujeeb Ur Rahman,1,1,4,29,2,14.5,7.25,12.0,0,0
74,Deepak Hooda,12,7,16,136,2,68.0,8.5,48.0,0,0
75,Fabian Allen,4,3,11,90,1,90.0,8.18,66.0,0,0
76,Glenn Phillips,3,2,2,20,1,20.0,10.0,12.0,0,0
77,Piyush Chawla,1,1,4,38,1,38.0,9.5,24.0,0,0
78,Ishan Porel,1,1,4,39,1,39.0,9.75,24.0,0,0
79,Daniel Sams,2,2,6,39,1,39.0,6.5,36.0,0,0
80,Ishant Sharma,3,3,12,97,1,97.0,8.08,72.0,0,0
81,Kane Richardson,1,1,3,29,1,29.0,9.66,18.0,0,0
82,KM Asif,1,1,2,18,1,18.0,8.3,13.0,0,0
83,Shahbaz Nadeem,1,1,4,36,1,36.0,9.0,24.0,0,0
84,Lukman Meriwala,1,1,3,32,1,32.0,10.66,18.0,0,0
85,Mahipal Lomror,4,4,7,47,1,47.0,6.71,42.0,0,0
86,Riyan Parag,11,6,6,73,1,73.0,11.83,37.0,0,0
87,Murugan Ashwin,3,3,11,97,1,97.0,8.81,66.0,0,0
88,Nathan Ellis,3,3,12,98,1,98.0,8.16,72.0,0,0
