,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
42,Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10
43,Aaron Finch,10,9,1,134,46,16.75,100,134.0,0,0,6,8
44,Kieron Pollard,9,8,1,133,50,19.0,100,133.0,0,1,10,7
45,Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10
46,Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6
47,Krishnappa Gowtham,15,13,4,126,33,14.0,64,196.87,0,0,9,9
48,Wriddhiman Saha,11,10,2,122,35,15.25,102,119.6,0,0,17,1
49,Jason Roy,5,5,1,120,91,30.0,94,127.65,0,1,9,7
50,Mayank Agarwal,11,11,1,120,30,12.0,94,127.65,0,0,9,5
51,D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5
52,Sam Billings,10,8,0,108,56,13.5,78,138.46,0,1,8,5
53,Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5
54,Marcus Stoinis,7,7,3,99,29,24.75,76,130.26,0,0,6,4
55,Ben Cutting,9,6,2,96,37,24.0,58,165.51,0,0,5,8
56,Ravindra Jadeja,16,10,5,89,27,17.8,74,120.27,0,0,3,4
57,Deepak Hooda,9,8,4,87,32,21.75,81,107.4,0,0,2,3
58,Gautam Gambhir,6,5,0,85,55,17.0,88,96.59,0,1,8,1
59,Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4
60,Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6
61,Carlos Brathwaite,4,4,1,75,43,25.0,48,156.25,0,0,1,8
62,David Miller,3,3,1,74,26,37.0,64,115.62,0,0,3,2
63,Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4
64,Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,6,2
65,Abhishek Sharma,3,3,2,63,46,63.0,33,190.9,0,0,3,5
66,Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4
67,Harshal Patel,5,2,1,60,36,60.0,33,181.81,0,0,1,6
68,Rashid Khan,17,7,2,59,34,11.8,31,190.32,0,0,3,6
69,Heinrich Klaasen,4,4,1,57,32,19.0,47,121.27,0,0,5,1
70,Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4
71,Shreevats Goswami,6,3,0,52,35,17.33,40,130.0,0,0,6,1
72,Tim Southee,8,4,2,52,36,26.0,46,113.04,0,0,5,1
73,Sarfaraz Khan,7,6,1,51,22,10.2,41,124.39,0,0,7,1
74,Rahul Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,5,1
75,Shreyas Gopal,11,4,1,50,24,16.66,45,111.11,0,0,5,0
76,Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4
77,Jaydev Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1
78,Manoj Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,4,1
79,Chris Morris,4,4,3,46,27,46.0,26,176.92,0,0,3,2
80,Stuart Binny,7,5,0,44,22,8.8,39,112.82,0,0,2,2
81,JP Duminy,6,4,3,36,23,36.0,40,90.0,0,0,3,1
82,Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1
83,Rinku Singh,4,4,0,29,16,7.25,31,93.54,0,0,4,0
84,Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1
85,Piyush Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1
86,Dan Christian,4,3,1,26,13,13.0,33,78.78,0,0,0,1
87,Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1
88,Kedar Jadhav,1,1,1,24,24,0.0,22,109.09,0,0,1,2
89,Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0
90,Mayank Markande,14,6,4,21,7,10.5,24,87.5,0,0,2,0
91,Mahipal Lomror,2,2,1,20,11,20.0,21,95.23,0,0,1,0
92,Mohammad Nabi,2,2,0,18,14,9.0,12,150.0,0,0,3,0
93,Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1
94,Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1
95,Mitchell Johnson,6,2,2,16,12,0.0,11,145.45,0,0,2,0
96,Jofra Archer,10,8,3,15,8,3.0,21,71.42,0,0,2,0
97,Shardul Thakur,13,1,1,15,15,0.0,5,300.0,0,0,3,0
98,Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0
99,Bhuvneshwar Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,0
100,Murali Vijay,1,1,0,12,12,12.0,10,120.0,0,0,0,1
101,Kuldeep Yadav,16,3,2,12,7,12.0,24,50.0,0,0,1,0
102,Ankit Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,1,0
103,Mitchell McClenaghan,11,5,3,11,11,5.5,10,110.0,0,0,1,1
104,Mohit Sharma,9,4,3,10,4,10.0,13,76.92,0,0,1,0
105,Mujeeb Ur Rahman,11,2,1,10,10,10.0,7,142.85,0,0,2,0
106,Jasprit Bumrah,14,3,2,10,6,10.0,11,90.9,0,0,1,0
107,Akshdeep Nath,1,1,0,9,9,9.0,13,69.23,0,0,1,0
108,Dhruv Shorey,1,1,0,8,8,8.0,9,88.88,0,0,0,1
109,Prashant Chopra,1,1,0,8,8,8.0,6,133.33,0,0,2,0
110,Javon Searles,4,2,1,8,6,8.0,6,133.33,0,0,0,1
111,Mohammad Shami,4,1,0,7,7,7.0,6,116.66,0,0,1,0
112,Vinay Kumar,2,1,1,6,6,0.0,3,200.0,0,0,1,0
113,Shahbaz Nadeem,6,1,1,6,6,0.0,8,75.0,0,0,0,0
114,Dhawal Kulkarni,8,2,1,6,3,6.0,7,85.71,0,0,0,0
115,Billy Stanlake,4,1,1,5,5,0.0,2,250.0,0,0,1,0
116,Akila Dananjaya,1,1,1,4,4,0.0,5,80.0,0,0,0,0
117,Pawan Negi,2,2,0,3,3,1.5,5,60.0,0,0,0,0
118,Anureet Singh,3,1,1,3,3,0.0,4,75.0,0,0,0,0
119,Basil Thampi,4,2,1,3,3,3.0,6,50.0,0,0,0,0
120,Barinder Sran,6,4,3,3,2,3.0,7,42.85,0,0,0,0
121,Umesh Yadav,14,5,1,3,1,0.75,11,27.27,0,0,0,0
122,Siddarth Kaul,17,4,1,3,2,1.0,14,21.42,0,0,0,0
123,Imran Tahir,6,1,1,2,2,0.0,2,100.0,0,0,0,0
124,Mark Wood,1,1,0,1,1,1.0,3,33.33,0,0,0,0
125,Naman Ojha,1,1,0,1,1,1.0,4,25.0,0,0,0,0
126,Murugan Ashwin,2,1,0,1,1,1.0,2,50.0,0,0,0,0
127,Ish Sodhi,6,1,0,1,1,1.0,6,16.66,0,0,0,0
128,Ben Laughlin,7,2,1,1,1,1.0,4,25.0,0,0,0,0
129,Liam Plunkett,7,2,1,1,1,1.0,3,33.33,0,0,0,0
130,Mustafizur Rahman,7,2,1,1,1,1.0,3,33.33,0,0,0,0
131,Prasidh Krishna,7,2,2,1,1,0.0,5,20.0,0,0,0,0
132,Amit Mishra,10,1,1,1,1,0.0,2,50.0,0,0,0,0
133,Pradeep Sangwan,1,1,0,0,0,0.0,4,0.0,0,0,0,0
134,Ricky Bhui,1,1,0,0,0,0.0,5,0.0,0,0,0,0
135,Sandeep Sharma,12,3,1,0,0,0.0,4,0.0,0,0,0,0
136,Trent Boult,14,1,0,0,0,0.0,2,0.0,0,0,0,0
137,Yuzvendra Chahal,14,1,1,0,0,0.0,4,0.0,0,0,0,0
