,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,Kane Williamson,17,17,3,735,84,52.5,516,142.44,0,8,64,28
1,Rishabh Pant,14,14,1,684,128,52.61,394,173.6,1,5,68,37
2,KL Rahul,14,14,2,659,95,54.91,416,158.41,0,6,66,32
3,Ambati Rayudu,16,16,2,602,100,43.0,402,149.75,1,3,53,34
4,Shane Watson,15,15,1,555,117,39.64,359,154.59,2,2,44,35
5,Jos Buttler,13,13,3,548,95,54.8,353,155.24,0,5,52,21
6,Virat Kohli,14,14,3,530,92,48.18,381,139.1,0,4,52,18
7,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16
8,Dinesh Karthik,16,16,6,498,52,49.8,337,147.77,0,2,49,16
9,Shikhar Dhawan,16,16,3,497,92,38.23,363,136.91,0,4,59,14
10,Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18
11,AB de Villiers,12,11,2,480,90,53.33,275,174.54,0,6,39,30
12,MS Dhoni,16,15,9,455,79,75.83,302,150.66,0,3,24,30
13,Suresh Raina,15,15,3,445,75,37.08,336,132.44,0,4,46,12
14,Sanju Samson,15,15,1,441,92,31.5,320,137.81,0,3,30,19
15,Shreyas Iyer,14,14,3,411,93,37.36,310,132.58,0,4,29,21
16,Evin Lewis,13,13,0,382,65,29.38,276,138.4,0,2,32,24
17,Ajinkya Rahane,15,14,1,370,65,28.46,313,118.21,0,1,39,5
18,Chris Gayle,11,11,2,368,104,40.88,252,146.03,1,3,30,27
19,Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23
20,Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21
21,Andre Russell,16,14,3,316,88,28.72,171,184.79,0,1,17,31
22,Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14
23,Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13
24,Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12
25,Manish Pandey,15,13,2,284,62,25.81,246,115.44,0,3,22,5
26,Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17
27,Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11
28,Yusuf Pathan,15,13,4,260,45,28.88,200,130.0,0,0,22,11
29,Mandeep Singh,14,13,3,252,47,25.2,186,135.48,0,0,16,11
30,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10
31,Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5
32,Krunal Pandya,14,13,3,228,41,22.8,157,145.22,0,0,22,10
33,Rahul Tripathi,12,12,3,226,80,25.11,167,135.32,0,1,18,8
34,Vijay Shankar,13,11,7,212,54,53.0,148,143.24,0,1,11,11
35,Shubman Gill,13,11,5,203,57,33.83,139,146.04,0,1,22,5
36,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8
37,Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6
38,Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9
39,Faf du Plessis,6,6,1,162,67,32.4,129,125.58,0,1,17,6
40,Parthiv Patel,6,6,1,153,53,30.6,109,140.36,0,1,20,4
41,Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6
