,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,David Warner,14,14,3,641,126,58.27,452,141.81,1,4,63,26
1,Gautam Gambhir,16,16,4,498,76,41.5,389,128.02,0,4,61,7
2,Shikhar Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,53,9
3,Steve Smith,15,15,3,472,84,39.33,387,121.96,0,3,38,12
4,Suresh Raina,14,14,3,442,84,40.18,307,143.97,0,3,42,13
5,Hashim Amla,10,10,3,420,104,60.0,288,145.83,2,2,40,17
6,Manish Pandey,14,13,5,396,81,49.5,308,128.57,0,2,28,12
7,Parthiv Patel,16,16,0,395,70,24.68,293,134.81,0,2,49,8
8,Rahul Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,43,17
9,Robin Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,36,21
10,Sanju Samson,14,14,0,386,102,27.57,273,141.39,1,2,32,19
11,Kieron Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22
12,Ajinkya Rahane,16,16,1,382,60,25.46,323,118.26,0,2,35,9
13,Rishabh Pant,14,14,0,366,97,26.14,221,165.61,0,2,28,24
14,Dinesh Karthik,14,13,3,361,65,36.1,259,139.38,0,2,30,11
15,Shreyas Iyer,12,12,2,338,96,33.8,243,139.09,0,2,36,10
16,Nitish Rana,13,12,1,333,62,30.27,264,126.13,0,3,24,17
17,Rohit Sharma,17,16,2,333,67,23.78,273,121.97,0,3,31,9
18,Manoj Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,31,11
19,Brendon McCullum,11,11,0,319,72,29.0,217,147.0,0,2,29,18
20,Ben Stokes,12,11,1,316,103,31.6,221,142.98,1,1,22,15
21,Glenn Maxwell,14,13,3,310,47,31.0,179,173.18,0,0,19,26
22,Virat Kohli,10,10,0,308,64,30.8,252,122.22,0,4,23,11
23,Aaron Finch,13,13,1,299,72,24.91,180,166.11,0,2,25,19
24,Chris Lynn,7,7,1,295,93,49.16,163,180.98,0,3,25,19
25,MS Dhoni,16,15,4,290,61,26.36,250,116.0,0,1,15,16
26,Karun Nair,14,13,0,281,64,21.61,226,124.33,0,1,39,6
27,Ishan Kishan,11,10,0,277,61,27.7,206,134.46,0,1,29,13
28,Moises Henriques,12,11,5,277,55,46.16,203,136.45,0,3,28,4
29,Jos Buttler,10,10,0,272,77,27.2,177,153.67,0,1,27,15
30,Kedar Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,25,10
31,Shaun Marsh,9,8,0,264,84,33.0,194,136.08,0,2,36,5
32,Kane Williamson,7,7,1,256,89,42.66,169,151.47,0,2,20,10
33,Yuvraj Singh,12,11,2,252,70,28.0,177,142.37,0,2,30,8
34,Hardik Pandya,17,16,9,250,35,35.71,160,156.25,0,0,11,20
35,Krunal Pandya,13,11,4,243,47,34.71,179,135.75,0,0,24,7
36,Dwayne Smith,12,12,1,239,74,21.72,156,153.2,0,2,32,8
37,Wriddhiman Saha,14,11,1,234,93,23.4,187,125.13,0,1,20,8
38,Manan Vohra,11,9,0,229,95,25.44,159,144.02,0,1,23,9
39,Axar Patel,14,13,5,227,44,28.37,162,140.12,0,0,11,11
40,Sunil Narine,16,14,1,224,54,17.23,130,172.3,0,1,34,10
41,AB de Villiers,9,9,1,216,89,27.0,163,132.51,0,1,12,16
42,Chris Gayle,9,9,0,200,77,22.22,163,122.69,0,1,15,14
43,Mandeep Singh,11,10,0,188,52,18.8,177,106.21,0,1,21,4
44,Ravindra Jadeja,12,10,6,158,28,39.5,113,139.82,0,0,13,4
45,Chris Morris,9,9,4,154,52,30.8,94,163.82,0,1,15,6
46,Travis Head,7,7,2,151,75,30.2,108,139.81,0,1,9,6
47,Pawan Negi,12,10,2,144,35,18.0,111,129.72,0,0,10,7
48,Yusuf Pathan,15,11,3,143,59,17.87,115,124.34,0,1,9,6
49,Corey Anderson,11,11,4,142,41,20.28,123,115.44,0,0,8,9
50,Sam Billings,6,6,0,138,55,23.0,104,132.69,0,1,19,1
51,Lendl Simmons,7,7,0,137,66,19.57,112,122.32,0,2,10,8
52,Martin Guptill,7,7,1,132,50,22.0,88,150.0,0,1,17,5
53,Colin de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,10,6
54,Suryakumar Yadav,10,7,1,105,31,17.5,88,119.31,0,0,8,3
55,Vijay Shankar,4,4,2,101,63,50.5,75,134.66,0,1,12,1
56,Ambati Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,7,3
57,David Miller,5,4,1,83,30,27.66,80,103.75,0,0,4,4
58,Dan Christian,13,9,4,79,17,15.8,49,161.22,0,0,5,5
59,Naman Ojha,14,5,1,79,34,19.75,65,121.53,0,0,2,3
60,Stuart Binny,8,7,2,78,18,15.6,76,102.63,0,0,6,3
61,Deepak Hooda,10,6,3,78,19,26.0,52,150.0,0,0,5,4
62,Pat Cummins,12,9,4,77,24,15.4,53,145.28,0,0,5,4
63,Shane Watson,8,7,1,71,24,11.83,78,91.02,0,0,6,1
64,Eoin Morgan,4,4,0,65,26,16.25,62,104.83,0,0,6,2
65,Jason Roy,3,3,1,59,31,29.5,40,147.5,0,0,9,1
66,Kagiso Rabada,6,3,0,55,44,18.33,64,85.93,0,0,5,1
67,James Faulkner,8,6,2,54,21,13.5,57,94.73,0,0,4,0
68,Andrew Tye,6,3,1,53,25,26.5,30,176.66,0,0,4,3
69,Saurabh Tiwary,1,1,0,52,52,52.0,43,120.93,0,1,9,0
70,Ben Cutting,4,3,1,51,20,25.5,26,196.15,0,0,5,3
71,Mohit Sharma,14,7,1,51,13,8.5,50,102.0,0,0,3,1
72,Karn Sharma,9,6,0,49,19,8.16,41,119.51,0,0,5,2
73,Amit Mishra,14,6,5,49,13,49.0,52,94.23,0,0,2,2
74,Chris Woakes,13,7,3,46,18,11.5,47,97.87,0,0,4,1
75,Sheldon Jackson,4,3,1,38,16,19.0,31,122.58,0,0,5,0
76,Mohammad Shami,8,6,2,36,21,9.0,24,150.0,0,0,4,2
77,Ishank Jaggi,2,2,1,33,28,33.0,39,84.61,0,0,3,0
78,Angelo Mathews,3,2,0,32,31,16.0,27,118.51,0,0,2,1
79,Sreenath Aravind,10,8,4,32,9,8.0,40,80.0,0,0,2,0
80,Bipul Sharma,7,3,2,31,21,31.0,24,129.16,0,0,2,1
81,Marlon Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,2
82,Basil Thampi,12,5,5,28,13,0.0,28,100.0,0,0,1,1
83,Mayank Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,3,0
84,Ankit Sharma,1,1,0,25,25,25.0,15,166.66,0,0,2,1
85,Aniket Choudhary,5,3,2,25,15,25.0,20,125.0,0,0,1,1
86,Mitchell Johnson,5,3,3,20,13,0.0,17,117.64,0,0,1,1
87,Kuldeep Yadav,12,2,0,20,16,10.0,22,90.9,0,0,2,0
88,Rahul Tewatia,3,2,1,19,15,19.0,11,172.72,0,0,4,0
89,Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,1,1
90,Aditya Tare,3,3,0,18,18,6.0,23,78.26,0,0,3,0
91,Marcus Stoinis,5,3,0,17,9,5.66,24,70.83,0,0,1,0
92,Rajat Bhatia,3,2,1,16,16,16.0,17,94.11,0,0,0,1
93,Harbhajan Singh,11,7,5,16,7,8.0,16,100.0,0,0,0,1
94,Mitchell McClenaghan,14,7,3,16,12,4.0,15,106.66,0,0,0,1
95,Jasprit Bumrah,16,2,1,16,16,16.0,12,133.33,0,0,0,1
96,Anureet Singh,1,1,0,15,15,15.0,12,125.0,0,0,2,0
97,Sachin Baby,3,3,0,15,12,5.0,15,100.0,0,0,2,0
98,Deepak Chahar,3,1,0,14,14,14.0,6,233.33,0,0,0,2
99,Nathan Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,2
100,Samuel Badree,7,5,0,13,8,2.6,23,56.52,0,0,0,0
101,Yuzvendra Chahal,13,6,3,13,4,4.33,26,50.0,0,0,0,0
102,Ankit Bawne,1,1,1,12,12,0.0,12,100.0,0,0,1,0
103,Carlos Brathwaite,2,2,0,12,11,6.0,15,80.0,0,0,2,0
104,Swapnil Singh,4,2,0,12,10,6.0,19,63.15,0,0,0,0
105,Rashid Khan,14,3,1,11,6,5.5,9,122.22,0,0,0,1
106,Umesh Yadav,14,4,4,10,4,0.0,13,76.92,0,0,0,0
107,Washington Sundar,11,5,4,9,5,9.0,12,75.0,0,0,0,0
108,Faf du Plessis,2,1,0,8,8,8.0,7,114.28,0,0,1,0
109,Tymal Mills,5,3,0,8,6,2.66,11,72.72,0,0,0,1
110,Ishant Sharma,6,3,1,8,5,4.0,12,66.66,0,0,1,0
111,Praveen Kumar,6,2,1,8,7,8.0,9,88.88,0,0,0,0
112,Ashok Dinda,3,1,0,7,7,7.0,7,100.0,0,0,1,0
113,Tim Southee,3,1,0,7,7,7.0,3,233.33,0,0,0,1
114,Adam Milne,4,3,1,7,5,3.5,12,58.33,0,0,0,0
115,Ankit Soni,7,3,1,7,7,3.5,9,77.77,0,0,0,1
116,Lasith Malinga,12,2,2,7,7,0.0,3,233.33,0,0,0,1
117,Sandeep Sharma,13,4,4,7,5,0.0,6,116.66,0,0,0,0
118,Darren Bravo,1,1,1,6,6,0.0,5,120.0,0,0,1,0
119,Iqbal Abdulla,2,1,1,5,5,0.0,7,71.42,0,0,0,0
120,Adam Zampa,6,1,0,5,5,5.0,7,71.42,0,0,1,0
121,Trent Boult,6,1,1,5,5,0.0,8,62.5,0,0,0,0
122,Ankit Rajpoot,5,1,0,4,4,4.0,7,57.14,0,0,1,0
123,Varun Aaron,6,2,1,4,4,4.0,10,40.0,0,0,0,0
124,Zaheer Khan,11,3,2,4,2,4.0,13,30.76,0,0,0,0
125,Bhuvneshwar Kumar,14,2,1,4,4,4.0,4,100.0,0,0,0,0
126,Rahul Chahar,3,1,1,3,3,0.0,2,150.0,0,0,0,0
127,Irfan Pathan,1,1,0,2,2,2.0,3,66.66,0,0,0,0
128,Mohammad Nabi,3,1,0,2,2,2.0,3,66.66,0,0,0,0
129,KC Cariappa,4,2,0,2,1,1.0,7,28.57,0,0,0,0
130,Pradeep Sangwan,5,3,1,2,1,1.0,4,50.0,0,0,0,0
131,Piyush Chawla,6,1,0,2,2,2.0,6,33.33,0,0,0,0
132,Shahbaz Nadeem,7,4,1,2,2,0.66,9,22.22,0,0,0,0
133,Jaydev Unadkat,12,2,2,2,2,0.0,5,40.0,0,0,0,0
134,Shakib Al Hasan,1,1,1,1,1,0.0,1,100.0,0,0,0,0
135,Lockie Ferguson,4,1,1,1,1,0.0,1,100.0,0,0,0,0
136,Dhawal Kulkarni,6,1,0,1,1,1.0,2,50.0,0,0,0,0
137,Akshdeep Nath,1,1,0,0,0,0.0,1,0.0,0,0,0,0
138,Chris Jordan,1,1,0,0,0,0.0,1,0.0,0,0,0,0
139,Munaf Patel,2,1,0,0,0,0.0,1,0.0,0,0,0,0
140,Siddarth Kaul,10,1,1,0,0,0.0,2,0.0,0,0,0,0
141,Imran Tahir,12,1,1,0,0,0.0,2,0.0,0,0,0,0
142,Shardul Thakur,12,3,0,0,0,0.0,3,0.0,0,0,0,0
