,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
97,Rishi Dhawan,2,2,2,14,11,0.0,6,233.33,0,0,0,1
98,Farhaan Behardien,3,3,1,14,9,7.0,13,107.69,0,0,2,0
99,Vinay Kumar,3,2,1,13,12,13.0,12,108.33,0,0,0,1
100,KC Cariappa,5,2,1,13,12,13.0,11,118.18,0,0,0,1
101,Kyle Abbott,5,3,2,13,12,13.0,8,162.5,0,0,0,1
102,Irfan Pathan,4,3,0,11,7,3.66,13,84.61,0,0,0,0
103,Parveez Rasool,4,1,0,10,10,10.0,9,111.11,0,0,1,0
104,Nathan Coulter-Nile,4,2,2,9,7,0.0,14,64.28,0,0,1,0
105,Umesh Yadav,9,2,1,9,7,9.0,5,180.0,0,0,0,1
106,Lendl Simmons,1,1,0,8,8,8.0,8,100.0,0,0,0,1
107,Aditya Tare,3,2,0,8,8,4.0,15,53.33,0,0,1,0
108,Jasprit Bumrah,14,2,1,8,6,8.0,11,72.72,0,0,1,0
109,Sandeep Sharma,14,4,4,8,5,0.0,9,88.88,0,0,0,0
110,Mitchell Marsh,3,1,0,7,7,7.0,11,63.63,0,0,0,0
111,Pravin Tambe,7,1,1,7,7,0.0,19,36.84,0,0,1,0
112,Sunil Narine,11,4,3,7,4,7.0,13,53.84,0,0,0,0
113,Peter Handscomb,2,1,0,6,6,6.0,12,50.0,0,0,0,0
114,Jayant Yadav,5,2,0,6,5,3.0,10,60.0,0,0,0,0
115,Zaheer Khan,12,2,0,6,4,3.0,13,46.15,0,0,1,0
116,David Wiese,1,1,1,5,5,0.0,4,125.0,0,0,0,0
117,Mitchell Johnson,3,3,1,5,4,2.5,14,35.71,0,0,0,0
118,Imran Tahir,4,1,0,5,5,5.0,7,71.42,0,0,1,0
119,Amit Mishra,14,2,0,4,3,2.0,14,28.57,0,0,0,0
120,Barinder Sran,14,4,4,4,2,0.0,4,100.0,0,0,0,0
121,Ankit Sharma,3,1,1,3,3,0.0,3,100.0,0,0,0,0
122,Chris Jordan,9,1,0,3,3,3.0,4,75.0,0,0,0,0
123,Shreyas Gopal,1,1,0,2,2,2.0,16,12.5,0,0,0,0
124,Mohammad Shami,8,2,2,2,2,0.0,4,50.0,0,0,0,0
125,Dale Steyn,1,1,0,1,1,1.0,2,50.0,0,0,0,0
126,Kane Richardson,4,1,1,1,1,0.0,1,100.0,0,0,0,0
127,Shahbaz Nadeem,4,1,1,1,1,0.0,5,20.0,0,0,0,0
128,Shadab Jakati,6,1,1,1,1,0.0,2,50.0,0,0,0,0
129,Ashish Nehra,8,2,2,1,1,0.0,1,100.0,0,0,0,0
130,Morne Morkel,10,2,2,1,1,0.0,1,100.0,0,0,0,0
131,Swapnil Singh,1,1,0,0,0,0.0,1,0.0,0,0,0,0
132,Unmukt Chand,1,1,0,0,0,0.0,4,0.0,0,0,0,0
133,Adam Zampa,5,1,0,0,0,0.0,1,0.0,0,0,0,0
134,Shivil Kaushik,7,2,1,0,0,0.0,1,0.0,0,0,0,0
135,Murugan Ashwin,10,1,0,0,0,0.0,1,0.0,0,0,0,0
